2015-03-08 11:47:32,448 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 11:47:33,069 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 11:47:33,069 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 11:47:33,158 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 11:47:34,271 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 11:47:34,314 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 11:47:34,318 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 11:47:34,331 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191sAhVJ_41TY_DzI7a2AXaHGjascU= started
2015-03-08 11:47:34,331 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 11:47:35,332 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 11:47:35,357 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 36188
2015-03-08 11:47:44,333 INFO  [Plumbr thread - 14] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:53:38,072 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 11:53:38,701 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 11:53:38,701 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 11:53:40,249 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 11:53:40,295 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 11:53:40,298 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 11:53:40,323 INFO  [Plumbr thread - 5] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
